target_name,kind,method,scheme,stl,seed,d,kappa,tau,dt,batch_size,n_steps,tail_mean_gap,tail_median_gap,tail_std_gap,final_gap,tail_steps,spd_fail
gaussian,gaussian,kl,kl,0,4,2,10.0,0.0,0.1,16,2000,0.0031939414073551,0.0020074120454155,0.0047774290738862,0.0012892753586757,400,0
gaussian,gaussian,kl,kl,0,5,2,10.0,0.0,0.1,16,2000,0.0040838714125891,0.0025534394284933,0.004084231665428,0.0001491211772481,400,0
gaussian,gaussian,kl,kl,0,6,2,10.0,0.0,0.1,16,2000,0.0030278896465684,0.0023954434447094,0.0025821328874648,0.0020116964624052,400,0
gaussian,gaussian,kl,kl,0,7,2,10.0,0.0,0.1,16,2000,0.0030495800260308,0.0023039067527883,0.0027657910581899,0.0006594803913337,400,0
gaussian,gaussian,kl,kl,0,8,2,10.0,0.0,0.1,16,2000,0.0034380808886474,0.0021601442766613,0.004006208900815,0.0032727263684793,400,0
gaussian,gaussian,kl,kl,0,9,2,10.0,0.0,0.1,16,2000,0.0029571183729834,0.0020311431215062,0.0028989903422167,0.0009160940299657,400,0
gaussian,gaussian,kl,kl,0,10,2,10.0,0.0,0.1,16,2000,0.0028732659632369,0.0022172640656278,0.0025375594986946,0.0020851395985028,400,0
gaussian,gaussian,kl,kl,0,11,2,10.0,0.0,0.1,16,2000,0.003691784452206,0.0024639749127816,0.0034332613182462,0.004638308872527,400,0
gaussian,gaussian,kl,kl,0,12,2,10.0,0.0,0.1,16,2000,0.0037273839308218,0.0024272799126692,0.0036359629317755,0.0024752855245389,400,0
gaussian,gaussian,kl,kl,0,13,2,10.0,0.0,0.1,16,2000,0.0032021601956158,0.0024671247047607,0.0029376252929005,0.0020137472200281,400,0
gaussian,gaussian,kl,kl,0,14,2,10.0,0.0,0.1,16,2000,0.0040969434715821,0.0030431334158105,0.0036562775060726,0.0006419340206818,400,0
gaussian,gaussian,kl,kl,0,15,2,10.0,0.0,0.1,16,2000,0.0036241674310705,0.0027025907249459,0.0033313727767427,0.0151268874741041,400,0
gaussian,gaussian,kl,kl,0,16,2,10.0,0.0,0.1,16,2000,0.0031381544062319,0.002237549216509,0.0029272141392863,0.0012469033580326,400,0
gaussian,gaussian,kl,kl,0,17,2,10.0,0.0,0.1,16,2000,0.0028760377320081,0.0020986486178441,0.0026898724158235,0.0012409206474934,400,0
gaussian,gaussian,kl,kl,0,18,2,10.0,0.0,0.1,16,2000,0.0033018656131932,0.0020396778104223,0.0038244923511446,0.0006532237580421,400,0
gaussian,gaussian,kl,kl,0,19,2,10.0,0.0,0.1,16,2000,0.0033620569361765,0.002648945903372,0.0029551543392851,0.0068174279796724,400,0
gaussian,gaussian,riemannian,riemannian,0,0,2,100.0,0.0,0.1,1,2000,0.0502731336917854,0.0368330718105457,0.045592645667956,0.002999196851307,400,0
gaussian,gaussian,riemannian,riemannian,0,1,2,100.0,0.0,0.1,1,2000,0.071488747683095,0.0518009855000839,0.0633198052822749,0.0511986006339961,400,0
gaussian,gaussian,riemannian,riemannian,0,2,2,100.0,0.0,0.1,1,2000,0.0373575846881987,0.0270738029069824,0.031660205981086,0.0026089856735671,400,0
gaussian,gaussian,riemannian,riemannian,0,3,2,100.0,0.0,0.1,1,2000,0.039812623928727,0.0248018155915209,0.0427461666602815,0.044053091590662,400,0
gaussian,gaussian,riemannian,riemannian,0,4,2,100.0,0.0,0.1,1,2000,0.0546632979494876,0.0342193472377549,0.0560636587809799,0.041070385688219,400,0
gaussian,gaussian,riemannian,riemannian,0,5,2,100.0,0.0,0.1,1,2000,0.063411524749812,0.0499789929046188,0.0555791220087152,0.0200832915844586,400,0
gaussian,gaussian,riemannian,riemannian,0,6,2,100.0,0.0,0.1,1,2000,0.0408501149536196,0.028311387467353,0.0418406437641472,0.0035704115927273,400,0
gaussian,gaussian,riemannian,riemannian,0,7,2,100.0,0.0,0.1,1,2000,0.0472000684812879,0.0346904870377292,0.0409907662162298,0.0013167229168826,400,0
