target,lambda,method,alpha,beta,lambda_min,lambda_max,dt_ref,c,dt,N,T_actual,initial_gap,final_gap_raw,final_gap_for_logs,q_theory,r_theory,q_riem_theory_at_dt,q_kl_theory_at_dt,q_hat_terminal,r_hat_terminal,observed_contraction,observed_rate,theory_rate,observed_over_theory_rate_ratio,q_hat_fit,r_hat_fit,fit_num_points,fit_window_status,theory_terminal_bound,terminal_slack,log10_terminal_slack,floor_limited_final,r_continuous,theory_version,status
gaussian_posterior,0.01,kl,0.01,1.0,0.5,100.0,0.01,0.75,0.0075,2000,15.0,52.06258509299404,1.9231816139608782e-10,1.9231816139608782e-10,0.9999893654732365,0.001417944441401559,0.999953125,0.9999893654732365,0.986924084122441,1.754954438608059,0.986924084122441,1.754954438608059,0.001417944441401559,1237.67503674078,0.9857119803048249,1.9188101701369102,1315,ok,50.9669502193361,265013713990.15924,11.423268348488296,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.01,kl,0.01,1.0,0.5,100.0,0.01,1.0,0.01,1500,15.0,52.06258509299404,1.9268031614672054e-10,1.9268031614672054e-10,0.9999876237623763,0.0012376314209995392,0.99995,0.9999876237623763,0.9826047843720385,1.7548290165164318,0.9826047843720385,1.7548290165164318,0.0012376314209995392,1417.8930711852743,0.9809917400801256,1.9191239350156706,986,ok,51.1049868797616,265232006578.43332,11.423625930900398,0,0.01,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,10.0,0.1,0.05,0.005000000000000001,3000,15.000000000000004,55.50129254649703,2.8815616559541013e-11,2.8815616559541013e-11,0.9995125,0.09752377335164804,0.9995125,0.9998815446576641,0.9906154754524856,1.8857673295802044,0.9906154754524856,1.8857673295802044,0.09752377335164804,19.336488578846986,0.9900744987278204,1.995017488902279,1855,ok,12.852646061588551,446030576338.0575,11.649364631536645,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,10.0,0.1,0.1,0.010000000000000002,1500,15.000000000000004,55.50129254649703,2.6938895558714648e-11,2.6938895558714648e-11,0.99905,0.09504515359954543,0.99905,0.9997749774977498,0.9812749623863338,1.8902570834486485,0.9812749623863338,1.8902570834486485,0.09504515359954543,19.88799020108784,0.9801992203716205,1.999944188384709,925,ok,13.339492624438082,495175928625.7301,11.6947595247053,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,10.0,0.1,0.25,0.025,600,15.0,55.50129254649703,2.1952661910518145e-11,2.1952661910518145e-11,0.9978125,0.0875958429214363,0.9978125,0.9995121951219512,0.9535174386306703,1.9039026014545093,0.9535174386306703,1.9039026014545093,0.0875958429214363,21.735079405104848,0.9508711843627223,2.0150671374819233,367,ok,14.916510187670962,679485260077.915,11.832180040117436,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,10.0,0.1,0.5,0.05,300,15.0,55.50129254649703,1.5466072866843206e-11,1.5466072866843206e-11,0.99625,0.07514097755424576,0.99625,0.9992063492063492,0.9081346708239689,1.9272519098625793,0.9081346708239689,1.9272519098625793,0.07514097755424576,25.648480663846275,0.9029860216800882,2.040964111039559,181,ok,17.980568487143987,1162581389726.3772,12.065423366612945,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,10.0,0.1,0.75,0.07500000000000001,200,15.000000000000002,55.50129254649703,1.0766720848209843e-11,1.0766720848209843e-11,0.9953125,0.06264694375405531,0.9953125,0.9990033222591362,0.8638511222309535,1.9513978301097672,0.8638511222309535,1.9513978301097672,0.06264694375405531,31.149130558878184,0.8563620183690709,2.067494314531018,119,ok,21.686764710559224,2014240455966.2222,12.304111314512426,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,riemannian,0.1,1.0,0.5,10.0,0.1,1.0,0.1,150,15.0,55.50129254649703,7.400968726756219e-12,7.400968726756219e-12,0.995,0.05012541823544286,0.995,0.9988636363636364,0.8206662432629842,1.9763877683248283,0.8206662432629842,1.9763877683248283,0.05012541823544286,39.42885342206196,0.8109456684916463,2.0955422033942024,88,ok,26.16767933509404,3535710026782.2793,12.54847664012715,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,kl,0.1,1.0,0.5,10.0,0.1,0.05,0.005000000000000001,3000,15.000000000000004,55.50129254649703,2.9110935884091305e-11,2.9110935884091305e-11,0.9998815446576641,0.02369247174481087,0.9995125,0.9998815446576641,0.9906188423704478,1.885087567891855,0.9906188423704478,1.885087567891855,0.02369247174481087,79.56483342877584,0.9900762283075195,1.9946681054587818,1856,ok,38.90097184347627,1336300969448.91,12.125904283476515,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
gaussian_posterior,0.1,kl,0.1,1.0,0.5,10.0,0.1,0.1,0.010000000000000002,1500,15.000000000000004,55.50129254649703,2.7503332944434078e-11,2.7503332944434078e-11,0.9997749774977498,0.022504782361211985,0.99905,0.9997749774977498,0.981288527639243,1.8888746820151834,0.981288527639243,1.8888746820151834,0.022504782361211985,83.93214614111287,0.9802055407907666,1.9992993808152517,925,ok,39.60021605536429,1439833351665.7766,12.158312229150686,0,0.1,kl_beta_lambda_max_no_cubic_penalty,ok
