family,kappa,scheme,arm,gamma,dt_nominal,dt_mean,s_train,N_train,x0,initial_gap,final_gap,final_rel_gap,n_steps,n_half,n_tol,tol_rel,n_half_over_N_train,shadow_mean_err_over_w,shadow_cov_err,cA_min,cA_max,c_min,c_max,max_energy_increase,monotone,status
retuned,128.0,kl,theory,0.5,0.00390625,0.00390625,3.0517578125e-05,4096,2147483648.0,2.3631621988793303e+18,2362919760833.006,9.998974094768274e-07,7069,4960,7069,1e-06,1.2109375,0.0,0.0,0.007812499999999999,0.9999999999999999,0.0078125,0.9988217808114813,0.0,1,ok
retuned,128.0,riemannian,const,0.5,0.5,0.5,0.00390625,32,16777216.0,144364142840859.38,38057129.67155785,2.636189909949477e-07,54,41,54,1e-06,1.28125,3.6666243114572666e-12,0.0,0.007812499999999999,0.9999999999999999,0.0078125,0.9995701377390672,0.0,1,ok
retuned,128.0,kl,const,0.5,0.5,0.5,0.00390625,32,16777216.0,144364142840859.38,37278047.19234166,2.5822234288077563e-07,57,42,57,1e-06,1.3125,3.6666243114572666e-12,0.0,0.007812499999999999,0.9999999999999999,0.0078125,0.9925122834792793,0.0,1,ok
retuned,256.0,riemannian,theory,0.5,0.001953125,0.001953125,7.62939453125e-06,16384,34359738368.0,6.050948318153208e+20,604707319165455.5,9.993595836065848e-07,22681,18454,22681,1e-06,1.1263427734375,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9988446708540757,0.0,1,ok
retuned,256.0,kl,theory,0.5,0.001953125,0.001953125,7.62939453125e-06,16384,34359738368.0,6.050948318153208e+20,602966929190216.0,9.96483356800915e-07,22685,18455,22685,1e-06,1.12640380859375,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9988321511510616,0.0,1,ok
retuned,256.0,riemannian,const,0.5,0.5,0.5,0.001953125,64,134217728.0,9237160908851490.0,4188399456.600121,4.534293055982814e-07,87,74,87,1e-06,1.15625,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9994359067280948,0.0,1,ok
retuned,256.0,kl,const,0.5,0.5,0.5,0.001953125,64,134217728.0,9237160908851490.0,6349549322.179806,6.87391871250761e-07,90,75,90,1e-06,1.171875,0.0,0.0,0.0039062499999999996,0.9999999999999999,0.00390625,0.9900024183538552,0.0,1,ok
retuned,512.0,riemannian,theory,0.5,0.0009765625,0.0009765625,1.9073486328125e-06,65536,549755813888.0,1.5492058341235532e+23,1.546908750764804e+17,9.985172510274924e-07,78842,70373,78842,1e-06,1.0738067626953125,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9988422232844546,0.0,1,ok
retuned,512.0,kl,theory,0.5,0.0009765625,0.0009765625,1.9073486328125e-06,65536,549755813888.0,1.5492058341235532e+23,1.5487503846850576e+17,9.997060110228972e-07,78845,70375,78845,1e-06,1.0738372802734375,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9988344343632128,0.0,1,ok
retuned,512.0,riemannian,const,0.5,0.5,0.5,0.0009765625,128,1073741824.0,5.911085412167214e+17,459241446036.17847,7.76915598429501e-07,152,139,152,1e-06,1.0859375,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9992613610342806,0.0,1,ok
retuned,512.0,kl,const,0.5,0.5,0.5,0.0009765625,128,1073741824.0,5.911085412167214e+17,274855180568.71658,4.6498259017364615e-07,156,141,156,1e-06,1.1015625,0.0,0.0,0.0019531249999999998,0.9999999999999999,0.001953125,0.9910860891546243,0.0,1,ok
retuned,1024.0,riemannian,theory,0.5,0.00048828125,0.00048828125,4.76837158203125e-07,262144,8796093022208.0,3.9661773888770365e+25,3.965494961838396e+19,9.998279383467432e-07,290176,273227,290176,1e-06,1.0422782897949219,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9988399912345812,0.0,1,ok
retuned,1024.0,kl,theory,0.5,0.00048828125,0.00048828125,4.76837158203125e-07,262144,8796093022208.0,3.9661773888770365e+25,3.965327454708238e+19,9.997857044490289e-07,290180,273229,290180,1e-06,1.0422859191894531,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.998836465989337,0.0,1,ok
retuned,1024.0,riemannian,const,0.5,0.5,0.5,0.00048828125,256,8589934592.0,3.78286960658837e+19,12587753606650.244,3.327567406692263e-07,282,269,282,1e-06,1.05078125,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9995165978618333,0.0,1,ok
retuned,1024.0,kl,const,0.5,0.5,0.5,0.00048828125,256,8589934592.0,3.78286960658837e+19,11859266641443.346,3.134992181805277e-07,286,271,286,1e-06,1.05859375,0.0,0.0,0.0009765624999999999,0.9999999999999999,0.0009765625,0.9920609692411055,0.0,1,ok
