n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
5,2.0,zero,0.0,volume_high,0.02,20.0,3.1121453565763346e-05,7.714282658728572e-06,6.2,15.0,inf,True,1.0049980081908072,4.0
5,2.0,zero,0.0,volume_low,0.02,20.0,0.000488427521986079,0.000307045010505161,12.8,inf,inf,True,0.25,0.9803628367297369
5,2.0,zero,0.0,shape_only,0.02,20.0,0.0004397521087069478,0.00015920382112189507,11.0,inf,inf,True,0.1353352832366127,7.38905609893065
5,2.0,zero,0.0,mixed,0.02,20.0,3.394280606983102e-05,6.203053415252027e-06,5.3,14.5,inf,True,0.44626032029685964,8.963378140676129
5,2.0,positive,0.2,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
5,2.0,positive,0.2,volume_high,0.02,20.0,0.0009130295896828677,0.00022631874554680207,9.3,inf,inf,True,1.0272703723694083,4.0
5,2.0,positive,0.2,volume_low,0.02,20.0,0.012415177862472593,0.007804675710544806,19.3,inf,inf,True,0.25,0.9036227170975337
5,2.0,positive,0.2,shape_only,0.02,20.0,0.0006902367837575696,0.00024988699605377494,10.9,inf,inf,True,0.1353352832366127,7.38905609893065
5,2.0,positive,0.2,mixed,0.02,20.0,0.0002435684323880416,4.451217124665219e-05,6.1000000000000005,17.7,inf,True,0.44626032029685964,8.963378140676129
10,0.125,negative,-0.00625,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.125,negative,-0.00625,volume_high,0.02,20.0,0.0,0.0,0.2,0.5,0.7000000000000001,True,1.0000000000000002,4.0
10,0.125,negative,-0.00625,volume_low,0.02,20.0,8.881784197001252e-16,2.7917218003846945e-16,0.4,0.7000000000000001,1.0,True,0.25,0.9999999999999993
10,0.125,negative,-0.00625,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.3,1.9000000000000001,True,0.1353352832366127,7.38905609893065
10,0.125,negative,-0.00625,mixed,0.02,20.0,0.0,0.0,1.7,4.0,6.3,True,0.42682831452124603,8.963378140676129
10,0.125,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.125,zero,0.0,volume_high,0.02,20.0,0.0,0.0,0.4,0.9,1.5,True,1.0000000000000007,4.0
10,0.125,zero,0.0,volume_low,0.02,20.0,0.0,0.0,0.8,1.4000000000000001,2.0,True,0.25,0.9999999999999987
10,0.125,zero,0.0,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.3,1.9000000000000001,True,0.1353352832366127,7.38905609893065
10,0.125,zero,0.0,mixed,0.02,20.0,0.0,0.0,1.6,3.9,6.2,True,0.44626032029685964,8.963378140676129
